22,24,29,31,35
15,22,31,34,35
03,04,18,23,32
06,10,16,17,25
01,09,19,20,30
01,16,20,23,28
14,16,25,26,35
02,08,11,21,23
01,03,09,19,34
06,08,18,29,34
29,32,33,34,35
03,12,15,29,34
12,17,27,29,34
01,02,07,29,32
02,08,12,13,17
01,14,19,24,31
13,14,29,32,34
03,04,16,23,28
03,06,17,22,23
02,06,11,12,18
02,04,24,29,33
08,10,12,23,25
08,10,23,32,34
06,16,20,25,31
22,24,26,27,34
05,09,13,33,35
02,03,10,19,27
20,26,30,34,35
15,22,25,29,35
11,14,27,33,35
03,21,27,31,32
01,13,21,23,32
01,05,08,14,22
06,08,11,13,22
07,11,16,31,32
15,18,21,27,34
01,06,07,17,31
06,21,25,27,32
10,11,20,21,35
05,21,25,28,35
03,16,17,22,35
07,10,22,31,35
04,09,22,24,31
04,05,07,12,26
09,16,20,26,35
04,16,18,23,30
01,06,15,19,35
08,25,26,29,35
09,10,15,17,32
13,21,22,30,35
03,07,24,28,35
01,14,29,32,33
11,16,19,21,25
04,10,19,29,34
10,16,24,31,33
04,11,17,20,21
14,16,30,32,35
08,21,25,28,33
04,15,23,31,33
12,13,29,30,31
02,10,19,28,29
01,04,10,14,29
10,31,33,34,35
02,16,32,33,35
19,20,24,29,31
04,07,08,19,24
11,18,25,30,31
04,09,13,14,33
02,13,16,21,35
07,26,29,30,35
10,22,32,33,35
21,24,26,27,33
04,05,09,12,23
16,17,23,24,31
05,11,20,30,32
02,09,12,15,31
04,06,12,13,24
09,12,14,22,23
06,09,25,26,31
01,15,20,25,27
06,18,20,22,35
03,05,14,33,34
01,05,20,21,24
05,11,18,29,34
17,24,28,29,33
14,18,19,26,28
08,18,30,31,33
17,18,21,23,33
08,13,24,30,34
04,20,24,31,33
07,12,26,31,32
06,19,27,28,29
06,08,16,25,27
01,02,11,34,35
01,12,24,31,32
01,11,13,32,35
09,22,24,31,33
18,25,29,31,34
10,12,26,29,34
03,04,05,12,28
02,06,08,17,32
04,08,12,24,30
06,23,24,27,29
14,20,22,24,27
02,10,29,32,35
01,11,19,22,35
04,07,10,28,34
09,18,20,27,33
08,10,11,17,19
02,14,25,29,32
03,06,07,11,30
08,24,25,29,31
04,05,15,17,33
05,10,13,21,24
09,12,13,25,31
06,26,31,32,34
08,12,17,20,30
06,10,12,15,28
01,21,22,24,25
05,17,23,31,32
03,11,17,19,26
06,11,18,29,30
03,21,23,26,35
14,20,23,27,28
03,09,19,27,33
03,10,21,23,30
06,07,18,34,35
02,12,13,29,30
09,19,22,30,32
11,20,24,31,35
12,13,19,32,33
07,11,15,27,35
04,08,19,22,29
07,17,21,22,28
05,10,13,32,35
05,08,10,31,33
02,21,23,27,32
14,32,33,34,35
11,25,26,27,35
12,18,22,23,30
01,13,22,25,27
01,11,14,28,30
01,05,11,26,27
01,07,09,11,33
03,18,19,30,35
01,13,21,23,32
05,14,23,31,35
02,14,28,30,35
15,19,25,30,31
05,08,09,17,33
03,09,11,29,33
07,13,21,25,31
03,13,17,23,30
07,10,14,19,32
01,15,27,28,29
07,11,24,30,35
14,18,24,27,31
19,22,23,25,32
02,07,21,22,25
03,10,14,15,22
06,09,11,33,34
05,13,16,29,33
09,17,18,21,31
01,05,11,14,25
10,25,32,33,34
02,05,06,07,31
10,13,22,31,35
01,10,13,30,33
03,05,10,27,34
01,08,21,33,34
08,17,20,28,31
20,23,26,32,33
06,09,29,31,33
07,08,20,22,29
15,19,29,33,35
06,14,15,30,31
02,17,20,22,25
03,07,13,15,19
01,06,10,22,35
14,22,32,33,35
07,11,19,27,31
08,13,24,32,33
04,11,18,33,34
09,13,19,22,25
03,23,26,32,34
06,07,10,24,30
07,12,19,27,34
03,04,11,21,25
06,07,12,25,28
01,10,31,33,35
07,10,22,27,33
03,18,23,25,30
12,20,26,29,30
10,13,23,31,33
05,25,26,29,35
02,11,22,30,34
07,08,10,24,34
12,21,22,26,35
03,05,21,28,33
01,02,13,15,16
11,16,24,29,32
01,10,18,28,34
05,16,25,27,33
02,11,12,14,19
04,18,26,32,33
11,14,17,19,22
02,03,22,27,31
07,09,19,21,33
06,08,15,24,31
13,23,24,25,30
06,09,19,25,30
01,02,10,19,27
21,23,24,25,32
11,23,24,32,35
03,06,12,20,29
01,06,12,28,31
02,10,13,29,33
01,04,28,33,34
09,29,32,34,35
08,21,22,31,33
12,15,23,24,25
13,16,20,25,27
03,05,22,29,34
08,09,12,21,32
06,14,24,27,29
10,12,15,33,35
11,13,15,28,35
07,22,25,29,33
03,28,29,32,34
01,10,25,32,35
04,05,18,22,35
01,06,10,14,22
02,09,11,29,32
09,15,18,30,34
06,18,21,30,35
01,02,22,29,32
10,19,27,28,33
05,16,27,29,30
09,23,24,26,33
16,18,19,24,35
03,07,20,33,35
02,05,06,27,29
01,09,10,15,25
07,10,27,31,34
03,05,14,20,33
02,04,06,25,26
05,07,10,29,32
01,15,23,27,30
01,04,07,12,30
16,18,23,30,32
01,03,22,32,35
10,11,15,31,32
02,04,22,31,35
06,14,15,29,35
04,17,21,29,31
12,18,23,26,32
02,09,12,21,29
02,11,13,14,21
02,05,20,25,31
05,24,26,30,35
08,14,15,25,26
01,05,10,16,27
10,11,20,26,27
05,11,23,26,33
01,06,13,28,29
04,29,31,32,35
05,16,18,32,35
01,15,31,32,34
12,14,17,34,35
15,17,21,27,33
29,31,32,33,35
03,17,22,23,33
24,30,31,32,34
03,22,26,33,34
06,20,30,32,35
03,04,13,17,24
01,07,27,30,32
07,11,19,21,22
04,12,20,26,29
02,08,18,21,32
05,19,31,32,35
03,07,09,28,33
02,12,26,31,33
17,18,19,25,31
06,17,20,29,32
01,03,07,10,33
03,16,30,32,33
05,09,20,23,29
11,24,25,26,31
05,21,22,32,35
01,07,18,29,34
01,09,14,24,35
01,09,24,34,35
13,18,21,24,29
05,06,22,25,27
05,16,28,29,34
05,15,28,32,33
03,11,22,26,29
23,24,30,34,35
05,09,24,31,33
02,12,19,29,30
05,08,14,23,24
04,13,17,32,35
06,15,22,27,30
08,10,14,27,32
02,13,14,29,33
18,28,29,30,31
02,10,21,26,34
04,22,23,29,31
