04,11
05,12
01,06
02,04
02,11
03,06
04,09
04,07
09,12
09,11
09,10
07,11
06,09
06,07
11,12
03,12
03,12
06,09
04,06
05,12
01,02
03,10
08,10
04,09
02,10
01,08
06,10
03,10
09,11
02,07
06,08
04,11
03,12
02,11
01,12
01,02
11,12
08,09
07,11
01,04
01,08
05,06
02,06
01,10
11,12
01,10
02,09
06,08
04,06
01,11
08,11
05,10
01,10
03,06
07,10
05,09
06,07
02,06
03,09
04,07
02,09
11,12
07,12
05,10
09,10
07,12
04,09
06,10
01,05
03,04
01,07
01,05
02,11
05,10
07,11
09,10
01,04
01,02
02,08
05,10
04,09
07,08
03,04
10,11
02,05
03,09
04,09
06,10
01,12
09,12
03,08
06,10
08,12
03,10
10,12
02,07
08,09
09,10
05,07
03,12
08,09
05,08
06,08
07,10
02,03
05,09
01,06
06,09
06,09
01,06
02,03
04,05
04,08
04,09
08,10
07,10
01,02
04,12
08,10
04,08
07,12
04,11
05,08
02,04
09,10
01,09
05,10
05,07
01,10
04,10
02,10
04,07
08,11
05,10
04,05
02,04
10,11
02,04
07,08
06,12
02,10
03,10
03,07
03,11
05,09
03,06
02,06
04,12
03,09
05,06
03,12
08,10
01,11
03,06
03,10
06,08
06,07
06,12
04,12
04,07
06,10
06,08
01,05
01,09
03,09
08,10
04,12
06,07
01,12
05,07
07,11
05,12
05,11
04,07
01,02
03,10
05,11
02,10
03,07
01,05
02,03
03,09
02,06
04,10
04,09
05,08
11,12
01,07
02,12
03,10
04,08
06,10
02,06
04,11
03,10
04,09
08,11
04,05
02,06
04,09
09,11
05,08
04,09
05,09
05,08
01,08
06,07
07,10
01,03
02,08
06,12
01,11
03,04
04,10
09,12
08,09
06,10
06,11
01,08
01,07
10,11
04,05
07,12
07,11
05,09
03,09
08,10
01,12
01,06
05,09
07,08
06,08
08,09
04,05
08,09
01,04
05,12
05,11
07,12
11,12
04,07
03,04
03,08
08,09
07,11
02,05
04,06
04,10
05,10
02,11
06,10
05,08
09,12
06,11
02,12
06,09
07,11
02,04
10,12
05,12
07,09
03,04
09,11
04,12
03,09
04,10
02,11
03,08
04,11
07,11
10,11
04,10
10,12
09,10
09,11
04,11
01,04
01,11
06,10
08,11
04,09
03,08
09,10
01,11
04,05
03,04
01,10
04,10
02,07
02,05
03,09
06,09
04,09
03,06
11,12
11,12
08,09
05,12
01,03
05,06
07,12
05,06
03,06
02,09
02,07
04,11
04,08
02,10
05,11
01,07
11,12
02,11
06,12
02,05
01,12
08,12
03,10
02,11
05,10
01,04
01,11
09,11
04,05
06,08
05,11
04,10
02,11
03,06
08,11
01,07
02,10
09,12
10,12
01,10
03,09
02,07
04,10
03,07
08,12
09,11
05,12
01,06
01,03
01,04
02,10
06,10
01,08
04,09
10,12
01,02
10,11
06,11
06,09
01,10
07,10
06,10
07,09
10,12
04,05
06,08
03,07
05,12
09,12
09,10
05,11
04,12
02,05
02,10
05,06
06,10
07,11
02,11
08,12
05,08
04,07
03,08
02,08
03,11
04,07
10,11
07,11
05,06
06,10
01,09
09,10
05,09
01,12
02,08
03,11
01,12
04,06
03,10
03,06
05,08
01,09
02,07
05,07
04,09
07,12
03,07
02,08
07,10
02,08
04,06
02,03
02,05
08,11
05,11
03,11
02,09
08,11
05,12
09,12
02,04
08,10
04,10
09,12
04,12
02,09
01,06
07,09
02,05
02,08
04,11
01,07
07,10
02,09
01,03
03,04
02,07
06,08
07,11
05,08
03,09
01,07
01,08
01,09
01,02
01,08
02,11
04,12
06,07
02,10
02,07
09,10
05,06
02,08
03,09
04,10
05,10
06,10
05,06
09,11
10,11
02,10
09,12
07,09
01,12
01,03
01,05
05,07
07,08
03,06
06,09
08,11
01,06
03,10
06,10
08,09
11,12
02,07
03,10
01,11
02,12
05,07
02,12
02,12
01,11
02,05
04,10
05,10
04,06
04,07
02,05
02,03
05,07
